dataset,mode,scheduler,scheduler_ablation,split_protocol,noise_multiplier,dp_enabled,rounds,arch_name,n_clients,seeds,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,loss_mean,loss_std,num_samples_mean,num_samples_std,unique_labels_mean,unique_labels_std
cifar10,Count-only-transfer,mobile,,independent,0.5,true,20,small_cnn,9,"42,43,44",0.3435763888888889,0.11256629026871727,0.23822487621671623,0.1194462806628907,2.532767152786255,0.48855312659873384,3912.4444444444443,1892.1321380331178,8.444444444444445,1.130388330520878
cifar10,Count-only-transfer,mobile,,independent,0.5,true,20,tiny_mobilenet,6,"42,43,44",0.3658854166666667,0.1585807927793958,0.27285473980009556,0.15870848590040737,2.2690003911654153,0.4471378188414142,4836.833333333333,1866.405681160092,9.166666666666666,0.752772652709081
cifar10,Count-only-transfer,mobile,,independent,0.5,true,20,tiny_resnet,6,"42,43,44",0.25026041666666665,0.1367644268936249,0.16209074653064212,0.1274116286651134,2.9793853918711344,0.5676329314982027,6740.666666666667,1089.4390605567007,7.0,2.0976176963403033
cifar10,Count-only-transfer,mobile,,independent,0.5,true,20,wide_cnn,9,"42,43,44",0.20347222222222222,0.08161268876762942,0.09729927861028248,0.07746878585803998,2.87801374329461,0.5454651995017618,5035.888888888889,1005.9294762114843,7.444444444444445,2.351122663277647
cifar10,Histogram-only,mobile,,independent,0.5,true,20,small_cnn,9,"42,43,44",0.3361111111111111,0.1077571315150933,0.23375596333709028,0.11578458378268316,2.587695320447286,0.4601580154399206,3912.4444444444443,1892.1321380331178,8.444444444444445,1.130388330520878
cifar10,Histogram-only,mobile,,independent,0.5,true,20,tiny_mobilenet,6,"42,43,44",0.34921875,0.15003824382261677,0.2590500134974718,0.1512501399221401,2.3220936338106792,0.46391192725152,4836.833333333333,1866.405681160092,9.166666666666666,0.752772652709081
cifar10,Histogram-only,mobile,,independent,0.5,true,20,tiny_resnet,6,"42,43,44",0.2453125,0.12423987634813552,0.15186129370704293,0.11208351620200027,2.960053038597107,0.48286256469977384,6740.666666666667,1089.4390605567007,7.0,2.0976176963403033
cifar10,Histogram-only,mobile,,independent,0.5,true,20,wide_cnn,9,"42,43,44",0.16631944444444444,0.06566270824707338,0.07149359314805931,0.05854538160256367,2.7972681681315104,0.5579731375994448,5035.888888888889,1005.9294762114843,7.444444444444445,2.351122663277647
cifar10,Histogram-only,random,,independent,0.5,true,20,small_cnn,9,"42,43,44",0.35538194444444443,0.07222279605474492,0.24998774296707577,0.08787716218306656,2.597245944870843,0.4900089664775205,3912.4444444444443,1892.1321380331178,8.444444444444445,1.130388330520878
cifar10,Histogram-only,random,,independent,0.5,true,20,tiny_mobilenet,6,"42,43,44",0.33567708333333335,0.06796006889005975,0.2348364827533563,0.07561042025757625,2.521598247687022,0.4252997198604379,4836.833333333333,1866.405681160092,9.166666666666666,0.752772652709081
cifar10,Histogram-only,random,,independent,0.5,true,20,tiny_resnet,6,"42,43,44",0.3028645833333333,0.033415832153960594,0.18971800059080124,0.0244919454576662,3.152222156524658,0.34856600078591254,6740.666666666667,1089.4390605567007,7.0,2.0976176963403033
cifar10,Histogram-only,random,,independent,0.5,true,20,wide_cnn,9,"42,43,44",0.2947916666666667,0.06561104762395202,0.1776325586769316,0.0697814730826747,2.9809219307369657,0.5959502972301577,5035.888888888889,1005.9294762114843,7.444444444444445,2.351122663277647
cifar10,Local-only,mobile,,independent,0.0,false,20,small_cnn,3,42,0.25885416666666666,0.12589846375982247,0.14969150411585966,0.12451988950061159,2.755419715245565,0.5279938039276253,3009.3333333333335,2419.297487563969,8.0,1.0
cifar10,Local-only,mobile,,independent,0.0,false,20,tiny_mobilenet,2,42,0.39609375,0.14694562796532942,0.29688774049282074,0.16760809094500126,2.3395974040031433,0.7918335623648941,5945.5,1218.3449839844213,9.0,0.0
cifar10,Local-only,mobile,,independent,0.0,false,20,tiny_resnet,2,42,0.18359375,0.043089319478555224,0.09837349317967892,0.06461479871391115,3.175475597381592,0.40421100280019095,6335.0,640.638743755012,6.5,0.7071067811865476
cifar10,Local-only,mobile,,independent,0.0,false,20,wide_cnn,3,42,0.22135416666666666,0.030351671425694726,0.11651199062665303,0.06151028548393684,3.253850571314494,0.6142796708469263,5470.333333333333,508.578738577748,5.333333333333333,1.5275252316519468
cifar10,Mean-only,mobile,,independent,0.5,true,20,small_cnn,9,"42,43,44",0.3510416666666667,0.11903235346692512,0.24489474358657995,0.12487674646358896,2.5613066249423557,0.536671842555218,3912.4444444444443,1892.1321380331178,8.444444444444445,1.130388330520878
cifar10,Mean-only,mobile,,independent,0.5,true,20,tiny_mobilenet,6,"42,43,44",0.3640625,0.15378048478269277,0.2687293856094281,0.15294863794511862,2.2610547025998433,0.4263364202346424,4836.833333333333,1866.405681160092,9.166666666666666,0.752772652709081
cifar10,Mean-only,mobile,,independent,0.5,true,20,tiny_resnet,6,"42,43,44",0.24427083333333335,0.14995659094106756,0.15408820643400153,0.1297457955879801,3.0221479296684266,0.7516704304757467,6740.666666666667,1089.4390605567007,7.0,2.0976176963403033
cifar10,Mean-only,mobile,,independent,0.5,true,20,wide_cnn,9,"42,43,44",0.1954861111111111,0.07575484577230761,0.09341775791512595,0.07716372170188257,2.8976329379611547,0.5698934052357393,5035.888888888889,1005.9294762114843,7.444444444444445,2.351122663277647
cifar10,Mean-only,random,,independent,0.5,true,20,small_cnn,9,"42,43,44",0.3576388888888889,0.07757794579396332,0.2522360351350572,0.08073076013598915,2.5223027017381456,0.48988306335492776,3912.4444444444443,1892.1321380331178,8.444444444444445,1.130388330520878
cifar10,Mean-only,random,,independent,0.5,true,20,tiny_mobilenet,6,"42,43,44",0.3502604166666667,0.06982411403692615,0.24595846235752106,0.08578695093893074,2.425656322638194,0.41496909292959355,4836.833333333333,1866.405681160092,9.166666666666666,0.752772652709081
cifar10,Mean-only,random,,independent,0.5,true,20,tiny_resnet,6,"42,43,44",0.31223958333333335,0.030417290946789893,0.19512472798426947,0.020230153721887474,3.083528741200765,0.36345233493141477,6740.666666666667,1089.4390605567007,7.0,2.0976176963403033
cifar10,Mean-only,random,,independent,0.5,true,20,wide_cnn,9,"42,43,44",0.2916666666666667,0.0515684182209664,0.1746999356481764,0.057101520718390704,2.9876073572370743,0.5362441709494077,5035.888888888889,1005.9294762114843,7.444444444444445,2.351122663277647
cifar10,PALM-transfer,mobile,,independent,0.5,true,20,small_cnn,3,42,0.265625,0.1326101399544922,0.14833497193952402,0.12394497644126558,2.7169116338094077,0.46853202666649113,3009.3333333333335,2419.297487563969,8.0,1.0
cifar10,PALM-transfer,mobile,,independent,0.5,true,20,tiny_mobilenet,2,42,0.3453125,0.14584077361972542,0.24498698860406876,0.152734984404401,2.6080233454704285,1.0813587419646125,5945.5,1218.3449839844213,9.0,0.0
cifar10,PALM-transfer,mobile,,independent,0.5,true,20,tiny_resnet,2,42,0.18125000000000002,0.048613591206575144,0.11029293015599251,0.056899230672290885,3.3621366739273073,0.17745768721613658,6335.0,640.638743755012,6.5,0.7071067811865476
