dataset,mode,scheduler,scheduler_ablation,split_protocol,noise_multiplier,dp_enabled,rounds,n,seeds,partition_seeds,arch_seeds,final_accuracy_mean,final_accuracy_std,final_macro_f1_mean,final_macro_f1_std,uplink_mb_mean,uplink_mb_std,downlink_mb_mean,downlink_mb_std,time_s_mean,time_s_std,energy_j_mean,energy_j_std,epsilon_max_mean,epsilon_max_std
cifar10,Stats-only-no-noise,mobile,,independent,0.0,false,20,3,"42,43,44","42,43,44","42,43,44",0.28328125000000004,0.017289470242028843,0.18595482523863513,0.020827419297298075,0.01972198486328125,0.0,0.0,0.0,41.09429824466659,16.53160777544967,16.29603726975123,5.254122545537128,0.0,0.0
fake,Count-only-transfer,mobile,,independent,0.5,true,2,1,7,7,7,0.09875,0.0,0.017942375503480434,0.0,0.00019073486328125,0.0,0.00034332275390625,0.0,0.7250037201394048,0.0,0.14111479377746583,0.0,17.572280848830225,0.0
fake,FedAvg-small_cnn,mobile,,independent,0.5,true,2,1,7,7,7,0.085,0.0,0.015668202191591263,0.0,1.503173828125,0.0,1.503173828125,0.0,0.5698071551364448,0.0,0.8733638172362952,0.0,0.0,0.0
fake,FedMD-proxy,mobile,,independent,0.5,true,1,1,7,7,7,0.08984375,0.0,0.016368286567740142,0.0,0.009765625,0.0,0.009765625,0.0,0.7723916136188272,0.0,0.11784913635253907,0.0,0.0,0.0
fake,Histogram-only,mobile,,independent,0.5,true,2,1,7,7,7,0.09875,0.0,0.017942375503480434,0.0,0.00019073486328125,0.0,0.0,0.0,0.4833109557498523,0.0,0.0940485143661499,0.0,17.572280848830225,0.0
fake,Mean-only,mobile,,independent,0.5,true,2,1,7,7,7,0.10375,0.0,0.018776456359773874,0.0,0.00507354736328125,0.0,0.0,0.0,0.48404521326864924,0.0,0.0948760290145874,0.0,27.194103648752325,0.0
fake,PALM-transfer,mobile,,independent,0.5,true,1,1,7,7,7,0.12109375,0.0,0.02160062175244093,0.0,0.00995635986328125,0.0,0.0,0.0,0.7264206076952083,0.0,0.14271163845062257,0.0,22.6225813626911,0.0
fake,PALM-transfer,mobile,,independent,0.5,true,2,2,"7,7","7,7","7,7",0.08875,0.003535533905932731,0.016273300861939788,0.0005897842295429736,0.00995635986328125,0.0,0.01010894775390625,0.0,0.3503918211218215,0.0,0.224263125161885,0.0,35.507880004768,0.0
fake,PALM-transfer,mobile,,independent,0.5,true,3,1,7,7,7,0.09765625,0.0,0.017698322189971805,0.0,0.00995635986328125,0.0,0.01010894775390625,0.0,1.1370977578231938,0.0,0.22019457732655284,0.0,46.791155473128484,0.0
fake,Stats-only-no-noise,mobile,,independent,0.0,false,2,1,7,7,7,0.1175,0.0,0.02787336427718401,0.0,0.00995635986328125,0.0,0.0,0.0,0.4847794707874462,0.0,0.0957035436630249,0.0,0.0,0.0
mnist,Count-only-transfer,mobile,,independent,0.5,true,15,3,"42,43,44","42,43,44","42,43,44",0.5209375,0.028447800332363115,0.4129083640873432,0.04213244235035548,0.00019073486328125,0.0,0.00034332275390625,0.0,20.880996858275793,4.404234322189769,4.8662065483729045,1.1891961619377638,61.70473491402545,1.9088455081156397
mnist,FedAvg-small_cnn,mobile,,fixed,0.0,false,15,3,"42,43,44","42,42,42","42,42,42",0.9608,0.018620150375332656,0.957535962263743,0.022620188504809336,1.599609375,0.0,1.599609375,0.0,4.860085171029705,1.228174946492841,4.885807871986507,0.49369299732189803,0.0,0.0
mnist,FedAvg-small_cnn,mobile,,independent,0.0,false,15,3,"42,43,44","42,43,44","42,43,44",0.9598333333333333,0.013542648682341759,0.9594213763872782,0.013747964662210682,1.599609375,0.0,1.599609375,0.0,8.296308493574013,0.837880949558103,3.4628635345458982,0.5202019322829307,0.0,0.0
mnist,FedMD-proxy,mobile,,independent,0.0,false,15,3,"42,43,44","42,43,44","42,43,44",0.45682999999999996,0.04176570483063825,0.34359201074888307,0.05243161122280616,0.078125,0.0,0.078125,0.0,11.95517165491141,10.49139608535982,3.5479789962768558,1.25108034267139,0.0,0.0
mnist,FedProto-style,mobile,,fixed,0.5,true,15,3,"42,43,44","42,42,42","42,42,42",0.48921875,0.013733121743161651,0.3898079286639889,0.020247141998369387,0.01483917236328125,0.0,0.01499176025390625,0.0,13.573639034259713,3.664233957724333,8.596154189957238,1.60788302140184,146.1695181884664,8.22273767035432
mnist,FedProto-style,mobile,,independent,0.5,true,15,3,"42,43,44","42,43,44","42,43,44",0.50234375,0.039661347190148494,0.3958643529564142,0.043595416640106556,0.01483917236328125,0.0,0.01499176025390625,0.0,16.248807072435717,6.346486597425248,6.887023910840353,1.7449704625415525,140.6877144034912,4.77031901899367
mnist,Histogram-only,mobile,,independent,0.5,true,15,3,"42,43,44","42,43,44","42,43,44",0.4895833333333333,0.05086035505328131,0.38577029065539437,0.04850517405438407,0.00019073486328125,0.0,0.0,0.0,11.55186641214145,9.9120322299875,3.3411578839619955,2.3209343943925544,61.70473491402545,1.9088455081156397
mnist,Histogram-only,random,,independent,0.5,true,15,3,"42,43,44","42,43,44","42,43,44",0.5651041666666666,0.034642543126491614,0.4527083287636439,0.03908750358289248,0.00019073486328125,0.0,0.0,0.0,22.76831516855205,12.088600006367137,6.725250190416972,1.0723641368227177,45.57562421463914,2.105361897891683
mnist,Local-only,mobile,,fixed,0.0,false,15,2,"43,44","42,42","42,42",0.48882812499999995,0.01778815496422404,0.39164133463054895,0.020287171372044815,0.0,0.0,0.0,0.0,11.92006231843677,0.6678085199844384,6.00654795149831,1.0718075206059194,0.0,0.0
mnist,Local-only,mobile,,independent,0.0,false,15,4,"42,42,43,44","42,42,43,44","42,42,43,44",0.5177709375,0.035041034477675245,0.4137758885510266,0.03983174899875529,0.0,0.0,0.0,0.0,15.047923582438079,5.701575213560309,6.891170876234209,2.086446753081336,0.0,0.0
mnist,Mean-only,mobile,,independent,0.5,true,15,3,"42,43,44","42,43,44","42,43,44",0.5080208333333333,0.027559564989234394,0.4064008112996817,0.031517585236815554,0.00751495361328125,0.0,0.0,0.0,16.245058547432286,6.340788532866466,5.919447118282318,0.9223014427751206,102.88464464810222,3.375923120955156
mnist,Mean-only,random,,independent,0.5,true,15,3,"42,43,44","42,43,44","42,43,44",0.5569791666666666,0.042373528889164146,0.4449150184790293,0.0535668726729043,0.00751495361328125,0.0,0.0,0.0,22.77358227680405,12.090690605956372,6.72685828367869,1.072400240981497,74.60729746349533,3.6538392646050317
mnist,PALM-transfer,mobile,,fixed,0.5,true,15,2,"43,44","42,42","42,42",0.486953125,0.016683300618620046,0.3851500185206532,0.02078197431989152,0.01483917236328125,0.0,0.01499176025390625,0.0,14.938715335853946,4.5888362773242575,8.155143688658395,1.7489793403550522,146.1562751112176,11.628661888470138
mnist,PALM-transfer,mobile,,independent,0.0,true,15,1,42,42,42,0.51616,0.0,0.4172500163316727,0.0,0.01483917236328125,0.0,0.01499176025390625,0.0,11.709684098704457,0.0,10.026316851352417,0.0,inf,0.0
mnist,PALM-transfer,mobile,,independent,0.5,true,15,4,"42,42,43,44","42,42,43,44","42,42,43,44",0.5091959374999999,0.03230611434928314,0.4064092849381268,0.034478644522593686,0.01483917236328125,0.0,0.01499176025390625,0.0,15.373235843209727,5.82841994049897,6.890614934104466,0.8635137768699974,142.0647868883594,4.77031901899367
mnist,PALM-transfer,mobile,no_deficit,independent,0.5,true,15,3,"42,43,44","42,43,44","42,43,44",0.5054687499999999,0.034681516938961876,0.4022614962110917,0.040268041029355744,0.01483917236328125,0.0,0.01499176025390625,0.0,16.59441975804482,6.481356152927972,6.013901177724202,0.9558536139294154,140.6877144034912,4.77031901899367
mnist,PALM-transfer,random,,fixed,0.5,true,15,2,"43,44","42,42","42,42",0.56203125,0.015026019100214207,0.4543404810130596,0.015060186918099206,0.01483917236328125,0.0,0.01499176025390625,0.0,30.409624054003213,17.29033265411859,10.29228832049052,1.7969771060529613,103.8677440880733,0.0
mnist,PALM-transfer,random,,independent,0.0,true,15,1,42,42,42,0.58183,0.0,0.47280638217926024,0.0,0.01483917236328125,0.0,0.01499176025390625,0.0,11.709684098704457,0.0,9.669153936487504,0.0,inf,0.0
mnist,PALM-transfer,random,,independent,0.5,true,15,4,"42,42,43,44","42,42,43,44","42,42,43,44",0.5653168749999999,0.03363792267943283,0.45171827748417853,0.0394117502430054,0.01483917236328125,0.0,0.01499176025390625,0.0,20.382965887050542,11.626945671902092,7.573424095179157,1.6588749349413927,99.44175204880464,5.110695390605791
mnist,PALM-transfer,random,no_deficit,independent,0.5,true,15,3,"42,43,44","42,43,44","42,43,44",0.5548958333333334,0.039257119345041565,0.4426396667957306,0.04497350276934534,0.01483917236328125,0.0,0.01499176025390625,0.0,23.27405981649924,12.354280789777835,6.8748474814097085,1.0953279704415826,100.91708272856086,5.110695390605791
mnist,PALM-transfer-no-noise,mobile,,independent,0.0,false,15,3,"42,43,44","42,43,44","42,43,44",0.5216666666666667,0.028864553259938565,0.4162519813825687,0.03318738031064947,0.01483917236328125,0.0,0.01499176025390625,0.0,17.964945293012253,9.479736803401357,4.477028752009074,1.1425285695066856,0.0,0.0
mnist,Stats-only,mobile,,fixed,0.5,true,15,2,"43,44","42,42","42,42",0.48046874999999994,0.009059805633952643,0.3808405356481671,0.013357792203300575,0.01483917236328125,0.0,0.0,0.0,11.921576344395849,0.6681934725401113,6.011444676510939,1.071969582322679,146.1562751112176,11.628661888470138
mnist,Stats-only,mobile,,independent,0.5,true,15,4,"42,42,43,44","42,42,43,44","42,42,43,44",0.512200625,0.03939563165160787,0.40906362580135464,0.04304763462534313,0.01483917236328125,0.0,0.0,0.0,15.050482264217466,5.704328052149896,6.938603467645826,2.0378087359873436,142.0647868883594,4.77031901899367
mnist,Stats-only,mobile,no_deficit,independent,0.5,true,15,3,"42,43,44","42,43,44","42,43,44",0.51015625,0.04089543401698413,0.40556316388150054,0.04657158034137836,0.01483917236328125,0.0,0.0,0.0,16.246288832561618,6.342658566913898,5.920616460323334,0.9224236668501385,140.6877144034912,4.77031901899367
mnist,Stats-only-no-noise,mobile,,independent,0.0,false,15,3,"42,43,44","42,43,44","42,43,44",0.5131770833333333,0.05103071736300921,0.4059783002982537,0.05520198129360204,0.01483917236328125,0.0,0.0,0.0,16.246288832561618,6.342658566913898,5.9802217775980635,0.8473628996992192,0.0,0.0
